	Course	Section	Faculty	Time	Room	Seats Available	
['1.', 'ACT201', '1', 'AhU', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC210', '0']
['2.', 'ACT201', '2', 'AhU', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'NAC1077', '1']
['3.', 'ACT201', '3', 'ASy', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC209', '0']
['4.', 'ACT201', '4', 'ASy', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC1077', '0']
['5.', 'ACT201', '5', 'AWKm', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'NAC1077', '0']
['6.', 'ACT201', '6', 'FIR', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC1077', '0']
['7.', 'ACT201', '7', 'FIR', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC1077', '0']
['8.', 'ACT201', '8', 'FIR', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC1079', '0']
['9.', 'ACT201', '9', 'FJM', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'NAC210', '0']
['10.', 'ACT201', '10', 'FI', 'MW', '05:20', 'PM', '-', '06:20', 'PM', 'NAC210', '0']
['11.', 'ACT201', '11', 'FI', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'NAC1079', '0']
['12.', 'ACT201', '12', 'FI', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'NAC1079', '0']
['13.', 'ACT201', '13', 'HHq1', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'NAC210', '0']
['14.', 'ACT201', '14', 'IAC', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC1079', '1']
['15.', 'ACT201', '15', 'IAC', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC1079', '0']
['16.', 'ACT201', '16', 'IAC', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'NAC210', '0']
['17.', 'ACT201', '17', 'MdM', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC210', '0']
['18.', 'ACT201', '18', 'MdM', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC210', '0']
['19.', 'ACT201', '19', 'NNh', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC313', '0']
['20.', 'ACT201', '20', 'NNh', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'NAC313', '0']
['21.', 'ACT201', '21', 'SHA1', 'MW', '04:10', 'PM', '-', '05:10', 'PM', 'NAC210', '0']
['22.', 'ACT201', '22', 'SHA1', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC313', '0']
['23.', 'ACT201', '23', 'TsA', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC210', '0']
['24.', 'ACT201', '24', 'TsA', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC210', '0']
['25.', 'ACT201', '25', 'Aru', 'ST', '05:20', 'PM', '-', '06:20', 'PM', 'NAC210', '0']
['26.', 'ACT201', '26', 'Aru', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'NAC210', '0']
['27.', 'ACT201', '27', 'KHM', 'RA', '12:40', 'PM', '-', '01:40', 'PM', 'NAC210', '0']
['28.', 'ACT201', '28', 'MhMR', 'RA', '11:30', 'AM', '-', '12:30', 'PM', 'NAC210', '0']
['29.', 'ACT201', '29', 'MhMR', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC210', '0']
['30.', 'ACT201', '30', 'MTMD', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'NAC210', '0']
['31.', 'ACT201', '31', 'MTMD', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'NAC313', '0']
['32.', 'ACT201', '32', 'RUS', 'RA', '10:20', 'AM', '-', '11:20', 'AM', 'NAC313', '0']
['33.', 'ACT201', '33', 'RUS', 'RA', '09:10', 'AM', '-', '10:10', 'AM', 'NAC210', '0']
['34.', 'ACT201', '34', 'SHA1', 'MW', '05:20', 'PM', '-', '06:20', 'PM', 'NAC313', '1']
